1,LAX,Los Angeles International,Los Angeles,CA,341.00,342.86," 278,801 "
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,323.80,325.56," 245,773 "
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,353.65,355.57," 202,089 "
4,DEN,Denver International,Denver,CO,308.04,309.71," 201,213 "
5,BOS,Logan International,Boston,MA,338.89,340.73," 193,884 "
6,SFO,San Francisco International,San Francisco,CA,387.93,390.03," 181,073 "
7,EWR,Newark Liberty International,Newark,NJ,390.02,392.14," 178,053 "
8,SEA,Seattle/Tacoma International,Seattle,WA,326.09,327.86," 175,713 "
9,JFK,John F. Kennedy International,New York-JFK,NY,383.59,385.68," 165,312 "
10,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,371.11,373.13," 159,048 "
11,MSP,Minneapolis-St Paul International,Minneapolis,MN,381.55,383.63," 158,255 "
12,LGA,LaGuardia,New York-La Guardia,NY,311.17,312.86," 150,511 "
13,PHX,Phoenix Sky Harbor International,Phoenix,AZ,322.55,324.30," 149,793 "
14,MCO,Orlando International,Orlando,FL,253.94,255.32," 145,641 "
15,DTW,Detroit Metro Wayne County,Detroit,MI,374.57,376.61," 130,779 "
16,PHL,Philadelphia International,Philadelphia,PA,370.05,372.06," 129,572 "
17,LAS,McCarran International,Las Vegas,NV,246.91,248.25," 124,952 "
18,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,238.08,239.37," 119,610 "
19,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,336.97,338.80," 114,994 "
20,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,312.85,314.55," 110,246 "
21,SAN,San Diego International,San Diego,CA,343.13,344.99," 104,181 "
22,PDX,Portland International,Portland,OR,319.93,321.67," 99,254 "
23,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,434.54,436.91," 95,169 "
24,TPA,Tampa International,Tampa,FL,310.66,312.35," 94,652 "
25,MDW,Chicago Midway International,Chicago-Midway,IL,283.22,284.76," 88,648 "
26,MIA,Miami International,Miami,FL,308.56,310.23," 82,229 "
27,SLC,Salt Lake City International,Salt Lake City,UT,360.63,362.59," 81,191 "
28,CLT,Charlotte Douglas International,Charlotte,NC,416.87,419.14," 73,224 "
29,OAK,Metropolitan Oakland International,Oakland,CA,288.95,290.52," 70,841 "
30,AUS,Austin - Bergstrom International,Austin,TX,382.57,384.65," 70,442 "
31,STL,St Louis Lambert International,St. Louis,MO,366.41,368.40," 69,450 "
32,DAL,Dallas Love Field,Dallas-Love Field,TX,283.47,285.01," 67,152 "
33,MCI,Kansas City International,Kansas City,MO,359.92,361.87," 66,379 "
34,SJC,Norman Y. Mineta San Jose International,San Jose,CA,301.23,302.87," 65,252 "
35,RDU,Raleigh-Durham International,Raleigh/Durham,NC,350.10,352.00," 65,010 "
36,BNA,Nashville International,Nashville,TN,357.29,359.23," 63,476 "
37,SMF,Sacramento International,Sacramento,CA,348.54,350.43," 63,413 "
38,HNL,Daniel K Inouye International,Honolulu,HI,357.93,359.87," 61,871 "
39,IND,Indianapolis International,Indianapolis,IN,361.13,363.10," 59,297 "
40,CLE,Cleveland-Hopkins International,Cleveland,OH,336.76,338.59," 55,303 "
41,IAD,Washington Dulles International,Washington-Dulles,DC,438.42,440.80," 55,045 "
42,SNA,John Wayne Airport-Orange County,Santa Ana,CA,356.63,358.56," 54,201 "
43,PIT,Pittsburgh International,Pittsburgh,PA,370.63,372.64," 53,474 "
44,MKE,General Mitchell International,Milwaukee,WI,341.90,343.76," 52,320 "
45,MSY,Louis Armstrong New Orleans International,New Orleans,LA,317.81,319.53," 51,753 "
46,HOU,William P Hobby,Houston-Hobby,TX,339.63,341.48," 51,456 "
47,CMH,John Glenn Columbus International,Columbus,OH,376.79,378.83," 49,078 "
48,BDL,Bradley International,Hartford,CT,370.85,372.87," 46,912 "
49,RSW,Southwest Florida International,Fort Myers,FL,306.50,308.16," 44,492 "
50,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,362.59,364.56," 44,289 "
51,SAT,San Antonio International,San Antonio,TX,397.06,399.22," 42,605 "
52,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,320.30,322.04," 37,333 "
53,SJU,Luis Munoz Marin International,San Juan,PR,281.92,283.45," 37,303 "
54,BUF,Buffalo Niagara International,Buffalo,NY,320.40,322.14," 32,452 "
55,JAX,Jacksonville International,Jacksonville,FL,383.82,385.90," 30,128 "
56,BUR,Bob Hope,Burbank,CA,269.58,271.05," 29,887 "
57,OMA,Eppley Airfield,Omaha,NE,384.58,386.67," 29,698 "
58,ONT,Ontario International,Ontario,CA,327.72,329.50," 29,098 "
59,PVD,Theodore Francis Green State,Providence,RI,347.40,349.29," 26,065 "
60,MEM,Memphis International,Memphis,TN,396.93,399.08," 24,372 "
61,ABQ,Albuquerque International Sunport,Albuquerque,NM,374.19,376.22," 24,179 "
62,RIC,Richmond International,Richmond,VA,417.02,419.29," 23,546 "
63,GRR,Gerald R. Ford International,Grand Rapids,MI,408.11,410.32," 22,716 "
64,LGB,Long Beach Airport,Long Beach,CA,187.76,188.78," 22,591 "
65,BOI,Boise Air Terminal,Boise,ID,345.03,346.91," 21,825 "
66,GEG,Spokane International,Spokane,WA,351.90,353.81," 21,776 "
67,OKC,Will Rogers World,Oklahoma City,OK,414.08,416.33," 20,776 "
68,RNO,Reno/Tahoe International,Reno,NV,343.73,345.60," 20,642 "
69,ALB,Albany International,Albany,NY,381.81,383.89," 20,631 "
