1,LAX,Los Angeles International,Los Angeles,CA,361.85,373.06," 259,038 "
2,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,338.31,348.78," 234,424 "
3,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,373.26,384.82," 185,631 "
4,BOS,Logan International,Boston,MA,367.32,378.69," 183,088 "
5,DEN,Denver International,Denver,CO,326.10,336.20," 181,970 "
6,SFO,San Francisco International,San Francisco,CA,397.63,409.94," 178,612 "
7,SEA,Seattle/Tacoma International,Seattle,WA,337.83,348.29," 160,347 "
8,JFK,John F. Kennedy International,New York-JFK,NY,402.53,415.00," 158,938 "
9,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,351.52,362.40," 155,344 "
10,LGA,LaGuardia,New York-La Guardia,NY,336.43,346.85," 153,608 "
11,EWR,Newark Liberty International,Newark,NJ,449.14,463.05," 151,573 "
12,MSP,Minneapolis-St Paul International,Minneapolis,MN,415.71,428.59," 148,284 "
13,PHX,Phoenix Sky Harbor International,Phoenix,AZ,340.30,350.84," 137,149 "
14,MCO,Orlando International,Orlando,FL,261.16,269.24," 135,005 "
15,LAS,McCarran International,Las Vegas,NV,233.54,240.77," 134,967 "
16,PHL,Philadelphia International,Philadelphia,PA,373.47,385.03," 132,415 "
17,DTW,Detroit Metro Wayne County,Detroit,MI,393.17,405.35," 123,438 "
18,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,343.57,354.20," 116,066 "
19,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,252.58,260.40," 112,803 "
20,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,326.54,336.66," 107,384 "
21,SAN,San Diego International,San Diego,CA,350.22,361.07," 99,931 "
22,TPA,Tampa International,Tampa,FL,307.14,316.65," 90,156 "
23,PDX,Portland International,Portland,OR,334.67,345.04," 89,972 "
24,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,443.96,457.71," 88,763 "
25,MDW,Chicago Midway International,Chicago-Midway,IL,293.27,302.36," 87,233 "
26,MIA,Miami International,Miami,FL,313.75,323.47," 77,261 "
27,SLC,Salt Lake City International,Salt Lake City,UT,392.69,404.85," 71,501 "
28,OAK,Metropolitan Oakland International,Oakland,CA,299.57,308.85," 68,762 "
29,CLT,Charlotte Douglas International,Charlotte,NC,449.64,463.56," 68,760 "
30,STL,St Louis Lambert International,St. Louis,MO,368.24,379.64," 68,353 "
31,DAL,Dallas Love Field,Dallas-Love Field,TX,267.35,275.63," 67,732 "
32,AUS,Austin - Bergstrom International,Austin,TX,374.50,386.10," 66,084 "
33,MCI,Kansas City International,Kansas City,MO,375.26,386.88," 62,883 "
34,SMF,Sacramento International,Sacramento,CA,353.35,364.29," 61,620 "
35,SJC,Norman Y. Mineta San Jose International,San Jose,CA,316.26,326.06," 60,312 "
36,RDU,Raleigh-Durham International,Raleigh/Durham,NC,374.29,385.88," 59,637 "
37,IND,Indianapolis International,Indianapolis,IN,356.61,367.65," 57,520 "
38,SNA,John Wayne Airport-Orange County,Santa Ana,CA,358.71,369.82," 56,599 "
39,BNA,Nashville International,Nashville,TN,378.60,390.32," 56,315 "
40,HNL,Daniel K Inouye International,Honolulu,HI,358.79,369.90," 56,117 "
41,CLE,Cleveland-Hopkins International,Cleveland,OH,348.69,359.48," 53,522 "
42,MKE,General Mitchell International,Milwaukee,WI,353.28,364.22," 52,049 "
43,HOU,William P Hobby,Houston-Hobby,TX,334.84,345.21," 51,444 "
44,PIT,Pittsburgh International,Pittsburgh,PA,388.00,400.01," 50,881 "
45,IAD,Washington Dulles International,Washington-Dulles,DC,458.22,472.41," 50,475 "
46,MSY,Louis Armstrong New Orleans International,New Orleans,LA,324.90,334.97," 48,182 "
47,RSW,Southwest Florida International,Fort Myers,FL,287.13,296.03," 47,382 "
48,CMH,John Glenn Columbus International,Columbus,OH,388.54,400.57," 47,208 "
49,BDL,Bradley International,Hartford,CT,387.54,399.54," 44,332 "
50,SAT,San Antonio International,San Antonio,TX,393.52,405.71," 40,430 "
51,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,315.56,325.33," 37,310 "
52,SJU,Luis Munoz Marin International,San Juan,PR,302.36,311.73," 36,327 "
53,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,430.48,443.81," 35,923 "
54,BUF,Buffalo Niagara International,Buffalo,NY,336.76,347.19," 32,457 "
55,JAX,Jacksonville International,Jacksonville,FL,386.85,398.83," 28,916 "
56,OMA,Eppley Airfield,Omaha,NE,403.35,415.84," 28,190 "
57,BUR,Bob Hope,Burbank,CA,287.22,296.12," 28,114 "
58,ONT,Ontario International,Ontario,CA,346.38,357.10," 27,653 "
59,PVD,Theodore Francis Green State,Providence,RI,349.68,360.51," 26,544 "
60,ABQ,Albuquerque International Sunport,Albuquerque,NM,373.92,385.50," 23,786 "
61,MEM,Memphis International,Memphis,TN,398.98,411.34," 22,867 "
62,SFB,Orlando Sanford International,Sanford,FL,110.75,114.18," 22,298 "
63,RIC,Richmond International,Richmond,VA,425.02,438.18," 21,898 "
64,GRR,Gerald R. Ford International,Grand Rapids,MI,402.11,414.56," 21,678 "
65,ALB,Albany International,Albany,NY,393.22,405.39," 20,458 "
66,OKC,Will Rogers World,Oklahoma City,OK,414.67,427.51," 20,281 "
67,GEG,Spokane International,Spokane,WA,357.64,368.71," 19,738 "
68,BOI,Boise Air Terminal,Boise,ID,356.79,367.84," 19,630 "
68,SDF,Louisville International-Standiford Field,Louisville,KY,421.72,434.78," 19,630 "
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,459.36,473.58," 18,666 "
71,ORF,Norfolk International,Norfolk,VA,436.00,449.50," 18,515 "
72,DSM,Des Moines International,Des Moines,IA,394.50,406.71," 18,132 "
73,RNO,Reno/Tahoe International,Reno,NV,357.00,368.06," 17,957 "
74,ROC,Greater Rochester International,Rochester,NY,383.59,395.46," 17,866 "
75,TUS,Tucson International,Tucson,AZ,388.22,400.24," 17,767 "
76,CHS,Charleston AFB/International,Charleston,SC,381.38,393.19," 16,814 "
77,PIE,St Pete Clearwater International,St. Petersburg,FL,109.49,112.88," 16,418 "
78,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,449.05,462.96," 16,307 "
79,OGG,Kahului Airport,Kahului,HI,306.67,316.17," 16,128 "
79,TUL,Tulsa International,Tulsa,OK,422.56,435.64," 16,128 "
81,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,127.51,131.45," 15,864 "
82,ELP,El Paso International,El Paso,TX,399.36,411.73," 15,727 "
83,MHT,Manchester-Boston Regional,Manchester,NH,374.40,385.99," 15,118 "
84,LGB,Long Beach Airport,Long Beach,CA,227.15,234.18," 14,855 "
85,SYR,Syracuse Hancock International,Syracuse,NY,410.65,423.37," 13,961 "
86,DAY,James M Cox/Dayton International,Dayton,OH,427.59,440.83," 13,909 "
87,CAK,Akron-Canton Regional,Akron,OH,332.78,343.09," 12,023 "
88,MSN,Dane County Regional-Truax Field,Madison,WI,527.68,544.02," 11,801 "
89,HPN,Westchester County,White Plains,NY,404.07,416.58," 11,783 "
90,GSP,Greenville-Spartanburg International,Greenville-Spartanburg,SC,433.87,447.31," 11,493 "
91,PGD,Punta Gorda Airport,Punta Gorda,FL,120.02,123.74," 11,240 "
92,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,441.24,454.91," 11,031 "
93,PWM,Portland International Jetport,Portland,ME,418.64,431.61," 10,039 "
94,ISP,Long Island MacArthur,Islip,NY,323.53,333.55," 9,596 "
95,TYS,McGhee Tyson,Knoxville,TN,490.15,505.33," 9,560 "
96,GSO,Piedmont Triad International,Greensboro/High Point,NC,456.76,470.91," 9,550 "
97,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,405.70,418.26," 9,525 "
98,KOA,Kona International Airport at Keahole,Kona,HI,314.91,324.66," 9,111 "
99,ACY,Atlantic City International,Atlantic City,NJ,130.03,134.06," 8,796 "
100,PSP,Palm Springs International,Palm Springs,CA,376.95,388.63," 8,708 "
101,LIH,Lihue Airport,Lihue,HI,276.26,284.82," 8,553 "
102,SAV,Savannah/Hilton Head International,Savannah,GA,448.78,462.68," 8,404 "
103,FSD,Joe Foss Field,Sioux Falls,SD,389.45,401.51," 8,182 "
104,PNS,Pensacola International,Pensacola,FL,454.77,468.86," 8,035 "
105,BLI,Bellingham International,Bellingham,WA,219.52,226.31," 7,935 "
106,LEX,Blue Grass,Lexington,KY,427.20,440.43," 7,789 "
107,FAT,Fresno Yosemite International,Fresno,CA,433.13,446.54," 7,704 "
108,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,420.62,433.65," 7,691 "
109,BTV,Burlington International,Burlington,VT,426.35,439.55," 7,643 "
110,MDT,Harrisburg International,Harrisburg,PA,471.98,486.59," 7,611 "
111,FNT,Bishop International,Flint,MI,383.26,395.13," 7,597 "
112,COS,City of Colorado Springs Municipal,Colorado Springs,CO,431.28,444.64," 7,196 "
113,CAE,Columbia Metropolitan,Columbia,SC,433.46,446.88," 7,054 "
114,XNA,Northwest Arkansas Regional,Fayetteville,AR,559.52,576.85," 6,979 "
115,FAR,Hector International,Fargo,ND,441.84,455.52," 6,666 "
116,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,569.96,587.61," 6,384 "
117,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,405.68,418.24," 6,319 "
118,ITO,Hilo International,Hilo,HI,246.28,253.91," 6,269 "
119,FWA,Fort Wayne International,Fort Wayne,IN,377.52,389.21," 5,978 "
120,EUG,Mahlon Sweet Field,Eugene,OR,357.13,368.19," 5,950 "
121,MLI,Quad City International,Moline,IL,374.35,385.94," 5,849 "
122,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,520.54,536.66," 5,637 "
123,MAF,Midland International Air and Space Port,Midland/Odessa,TX,422.05,435.12," 5,580 "
124,LBB,Lubbock Preston Smith International,Lubbock,TX,407.18,419.79," 5,547 "
125,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,304.02,313.44," 5,509 "
126,SBN,South Bend International,South Bend,IN,324.47,334.52," 5,408 "
127,CHA,Lovell Field,Chattanooga,TN,423.89,437.02," 5,311 "
128,ILM,Wilmington International,Wilmington,NC,439.57,453.18," 5,291 "
129,BIL,Billings Logan International,Billings,MT,410.16,422.86," 5,237 "
130,PIA,General Downing - Peoria International,Peoria,IL,320.65,330.58," 5,206 "
131,SGF,Springfield-Branson National,Springfield,MO,455.45,469.56," 5,191 "
